会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社伊丹白雲台,《アイデアを活かして一緒にこれからの当店を作っていきましょう！》チーフ候補として、キッチン運営などに携わってください。,《転勤なし！U・Iターン歓迎！伊丹空港での勤務です》 ■大阪国際空港店／大阪府豊中市螢池西町3丁目…,,《料理・飲食店運営に興味がある方であれば経験は不問》■学歴不問★正社員デビュー・ブランク・未経験・第二新卒まで幅広く歓迎！◎昇給・賞与あり,月給28万円〜+諸手当※賞与あり ※年齢・スキルを考慮します ※試用期間2ヶ月（入社初月のみ月給26万円。…,2020/11/20
有限会社アイユーホーム,【 社員同士の仲が良く、丁寧な研修で安心してスタートが切れます！ 】来店されたお客様へ物件を紹介する賃貸カウンター業務をお任せします。,【 転勤なし 】 希望を考慮して、北九州市内の各店舗勤務地へ配属します。 ※いずれの勤務地も、アク…,,【 宅建をお持ちの方、歓迎！ 】◎未経験でもイチから育てます ◎35歳までの方（※） ◎高卒以上 ◎要普免許（AT可）◎PCスキル ★完全週休2日制,▼モデル年収／550万円（28歳・主任職) 月給／21万2500円〜 (固定残業代20h/2万7500円＋一律営業手当2万…,2020/11/20
メットライフ生命保険株式会社,【座学研修～実践的な研修まで、手厚い研修制度をご用意！】個人や法人のお客さまの幅広いニーズに寄り添い、保険プランを提案します。,【転勤なし！ずっと横浜で働ける】 ◆横浜人材開発室 神奈川県横浜市神奈川区金港町3-1 コンカード…,,【未経験歓迎、第二新卒歓迎！】年齢不問／前職・経験も問いません。※高卒以上《先輩の前職はさまざま。必要な知識は入社後にしっかりと学べます！》,【初任給月給】25万円または30万円＋業績給 （初任給月給は、基本給10万円＋初期補給15万円または20万円…,2020/11/20
株式会社Vヴィズリア,"【クライアントとエンジニアを結ぶ""架け橋""】お客様のITプロジェクトに当社のエンジニアをマッチングします　★入社後は万全のOJT研修あり",【転勤なし／最寄り駅から徒歩2分でアクセス◎】 ★「代々木」「北参道」の2駅利用できます ◆代々木…,220万円～700万円,【意欲があれば「経験」も「資格」も不要】★学歴不問★女性も活躍中★工事作業員・自販機の補充員・パチンコ店STAFFなど未経験スタートの先輩が多数,【月給18万円〜】+ インセンティブMAX15% ★経験・能力に応じて決定いたします。 ★上記月給には固定残業…,2020/11/20
株式会社ネクストドア,【営業職】先ずは営業職からスタート！◆慣れてきたら管理業務もお任せします！,★転勤なし★ 東京都豊島区池袋1-2-6　ベルメゾン池袋　1F 【アクセス】 山手線　池袋駅　徒歩…,300万円～500万円,◆能動的で自分で突き進める方◆＜学歴・経験一切問いません！人物重視の採用です★＞あなたの才能を発揮できる環境がココに☆,月給25万円〜 ※30時間のみなし残業(6万円)含む 　超過分は別途支給いたします。 ◆勤続年数に関わらず…,2020/11/24
株式会社小山電機工事,照明やケーブルの配線工事などの大型施設案件の電気工事を担当します！《あなた専用の道具と社用車を用意》今までの経験・知識を活かして働けます！,【本社】石川県白山市上二口町239番地2 ★マイカー通勤可 ★対応エリアは石川県内！ 勤務地は本社…,,第一種・第二種電気工事の資格をお持ちの方、大歓迎★未経験もOK！《製造や事務、外線電気作業員など、先輩社員の前職もさまざま！》,月給30万円〜50万円 ＼前職給与考慮／ ※年齢・経験・能力を考慮のうえ、決定します。 ※未経験者は、月…,2020/11/20
株式会社エングループ沖縄,◆12月15日OPEN予定の新店舗で『店長候補』として、店舗運営に関わる業務全般をお任せします。※個人の能力や希望に合った業務からスタートします！,『The Lanterns』（ランタン） ◆埼玉県越谷市レイクタウン3-1-1（MORI内）,360万円～540万円,＜学歴不問・完全未経験OK・資格不要＞キッチンやホールでの業務経験があれば活かすことが できます♪中華料理屋やアジアンフード店での経験者優遇◎,◆月給30万円〜45万円 ※上記は、あくまで入社時の給与最低保証給です。 ◎あなたの頑張りに応じて月給…,2020/11/20
株式会社丸忠建設工業,【資格取得の支援あり！】建設工事の施工管理、スケジュール管理や安全・品質管理を担当。経験が浅い方は先輩の補助業務からスタート！,【転勤なし／マイカー通勤OK】 福島県安達郡大玉村大山字南小屋88 ★社員のほとんどが30分圏内の…,250万円～550万円,【幅広い年代が活躍中！】◎要普免(AT限定不可) ◎土木施工管理の実務経験をお持ちの方(年数不問) ★土木施工管理技士2級以上の有資格者は優遇！,"月給200,000円〜400,000円+賞与年2回 ※月給は最低保証金額です。年齢、経験、能力を考慮の上、決定いた…",2020/11/20
JS社会保険労務士法人,【安心スタート★半年間の研修でじっくり成長♪】社労士・営業とチームを組み、主に社労士のもとで、顧客管理などの事務手続きをご担当いただきます♪,。*☆転勤なし☆*。五反田駅より徒歩6分！ 移転したばかりのキレイなオフィスです。 ＜住所＞ 東京…,300万円～450万円,【未経験者・ブランクのある方歓迎】★社会人経験があり、PCの基本スキルをお持ちの方 ★20代～40代の女性が活躍中！★産休・育休もしっかり取得♪,月給25万円〜35万円＋インセンティブ（3万円〜25万円） ※経験・年齢・スキルなどを考慮の上、当社規定に…,2020/11/20
大樹生命保険株式会社,【保険販売とアフターサービス】お客さまのニーズやご意向に沿った保障プランや保険商品のご案内をお願いします。＊丁寧な研修あり,【宇都宮、新宇都宮、栃木、小山、大田原、鹿沼】 ◆宇都宮営業部：栃木県宇都宮市伝馬町1-2 ◆新宇…,,【未経験歓迎！幅広い世代が活躍中】高卒以上／60歳未満の方 ＊結婚や育児などライフステージが変わっても働ける職場を探している方におすすめです。,【一般コース】 月給 15万円 【特選コース】 保障額：月給 30万円・25万円・20万円 ※当社規程による所…,2020/11/17
株式会社Ｍ＆Ｔコーポレーション,【テレアポ&飛び込みなし★完全反響型の営業スタイル】お客様に”理想の家をご提案する”お仕事です◎自由に長期休暇が取りやすい環境♪,【転勤なし／駅チカ】 ■大阪府大阪市西区北堀江3-6-8　西青山ビル 4F ※U・Iターン歓迎,600万円～800万円,【未経験大歓迎♪スキル・経験一切必要ナシ】■学歴不問■人柄・意欲重視の採用なので、まずは気軽にご応募ください◎基本定時退社でメリハリしっかり,選べる給与体系 ■月給21万円+高歩合+賞与 ※上記には固定残業代（25時間分/3 万円）が含まれます。超過…,2020/11/17
マイクロクラフト株式会社,《 既存のお客様への営業職／技術面は専門部隊がサポート 》☆入社後の教育制度充実☆既存のお客様への状況確認やフォロー、追加提案が中心！,【 転勤なし！東京営業所限定募集！】 ・東京都大田区多摩川1-2-14 ★東急多摩川線「矢口渡」駅…,350万円～500万円,《 年収例 620万円／27歳 》◆35歳以下の方（若年層の長期キャリア形成を図るため）◆高卒以上 ◆要普免(AT可),月給23万円〜35万円 ＋ 諸手当 ※経験・能力等を考慮の上、当社規定により決定 ※試用期間3カ月あり(期…,2020/11/19
有限会社高橋タイル,【マイナビ転職からの入社実績あり／同期と一緒に活躍できる♪】一般住宅、マンション、公共施設、大型ショッピングモールなどのタイル張りをお任せ,【転勤なし！】 岩手県盛岡市本宮3-37-28 ※マイカー通勤OK！,200万円～400万円,【未経験・第二新卒歓迎！】◇25歳以下の方 ◇経験・性別不問！ ◇要運転免許（AT可） ★モノづくりが好きな方歓迎！人物重視の採用です,"月給：165,000円〜310,000円 ※年齢・経験等を考慮し、当社規定により決定いたします。 ◎モデル年収 年…",2020/11/17
株式会社高学館パートナーズ,【校舎運営に専念できる新体制スタート】校舎長候補として、生徒・保護者様への対応や講師のマネジメント、塾のPR活動などをお任せ★残業1日30分以内,☆U・Iターン歓迎 ※16教室のいずれかに希望を考慮し、配属 ※転居を伴う転勤なし 【松原本校】大…,450万円～600万円,【未経験歓迎！約束を守るなど、誠実な対応ができる方】■大学受験を経験した方※営業、店舗管理など異業種出身者が活躍中※教員免許不問,月給27万円〜＋諸手当＋賞与年2回（昨年度4ヶ月分） ★モデル年収例 年収600万円／29歳／入社6年目 年収4…,2020/11/17
株式会社エム・シー・ピー,＜抜群の教育体制／残業月20h以内＞マンションの大規模修繕・改修・リフォームの施工管理をお任せ。高水準の給与体系でお迎えします！,＜転勤なし／恵比寿駅徒歩2分の好立地♪＞ ■本社／東京都渋谷区恵比寿西1-14-4 シティホームズ…,450万円～850万円,＜年齢・学歴不問／未経験スタートも大歓迎！＞★建築施工管理経験をお持ちの方は経験者として優遇します！(年数不問) ☆しっかり稼ぎたい方も歓迎！,【未経験者】月給28〜45万円 【経験者】月給35〜50万円 ※経験や前職の給与を考慮の上、決定いたします …,2020/11/17
プレミアムウォーター株式会社,【完全内勤で働きやすさ◎】一人暮らしの方やファミリー層など、幅広いお客様に対して、電話による案内やアフターフォローをお任せします。,福岡オフィスでの勤務になります ※U・Iターン歓迎 ＜福岡オフィス＞ 福岡県福岡市中央区天神3丁目…,350万円～550万円,◆年齢 35歳まで ◆仕事とプライベートのバランスを大事にしたい・長く働き続けたいという方は是非ご応募ください。未経験・第二新卒の方も大歓迎！,"月給23万5,000円以上 ＋ インセンティブ（契約件数に応じて毎月支給）＋通勤交通費支給 ※経験・能力を考…",2020/11/17
