会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社ビッグモーター,【入社後はイチから丁寧にレクチャー！】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪,☆転勤なし！全国募集＆勤務地は希望を考慮します♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪…,300万円～550万円,【未経験・第二新卒歓迎！】＼学歴・性別・年齢不問／ オフィスワークに興味がある方歓迎！★90％以上が未経験スタート ★既卒・社会人デビューもOK,"【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…",2020/10/20
株式会社九州エネコ,★★ ノルマなし ★★　◎給湯設備、キッチン熱源、それに関するコストなどをヒアリング。　☆詳しい説明、商談は別に担当がいるのでご安心下さい！,◆転勤なし！ ◆マイカー通勤OK（無料駐車場あり） 熊本市、久留米市いずれかにて勤務いただきます。…,400万円～750万円,★★ 社員の約90％が未経験スタートです！★★　◎学歴・年齢不問　◎要普免（AT限定可）　☆20～50代の幅広い年代が活躍中！,"月給27万円 + 歩合給（1件あたり7〜10万円） ★年収1,000万円以上が多数在籍！ ※入社3ヶ月は一律新人手…",2020/10/20
株式会社ビッグモーター,クルマの凹みやキズの修理に関する受付、事務業務などをお任せします。◎データ入力や電話対応がメイン。難しい業務はありません♪,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,300万円～550万円,＜未経験・第二新卒歓迎！女性活躍中＞■「車に詳しくない…」そんな方も大丈夫！☆産休育休取得実績多数あり,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…,2020/11/06
株式会社東黎トラスト,【高価な商材を扱うからこそ、味わえるやりがい！】投資用不動産の営業をお任せします！自社物件や厳選した物件ばかりだから高い成約率！,【転勤なし／各線梅田駅チカ】 ※U・Iターン歓迎します！ ◆大阪市北区西天満4-14-3 リゾート…,450万円～800万円,【未経験大歓迎！若手限定採用】応募条件は以下の3つ！　(1)29歳以下の方(※)／(2)大卒以上／(3)一般的な社会人マナーのある方(挨拶・報連相 など),◆月給27万円以上（一律営業手当を含む） + 歩合給 ＋ 諸手当（1室受注するごとに、歩合がつきます） ※…,2020/11/16
株式会社 One's Will,通信キャリアの基地局設置をはじめ、大型商業ビルや競技場建設などに関わる「建設事務全般」を担当。※ゆくゆくは施工管理を担う管理職も目指せます！,《★都内、関西（大阪、京都、兵庫、奈良）、那覇で積極採用！》 ◎勤務地の希望は最大限考慮します！…,350万円～450万円,【未経験者、歓迎！】※建設業界や事務の経験は不問！◆39歳まで◆要普免（AT限定可）☆第二新卒の方も歓迎！☆未経験でも月給26万円以上スタート！,月給 26万6482円（一律手当含む） ＋（交通費） ※経験・能力などを考慮し、当社規定にて決定。 ※上記金…,2020/11/12
小金井不動産株式会社,★LIXIL不動産ショップでの不動産売買の仲介業務★ご来店されたお客様への物件のご紹介がメインなので、成約率が高い！★物件数も県内トップクラス！,※コガネイハウジング株式会社への出向となります ★東大宮店 埼玉県さいたま市見沼区東大宮4-23-…,300万円～1000万円,【経験者の場合】■不動産売買経験者 もしくは ■ハウスメーカーの営業経験者 もしくは ■営業でなんらかの成果をあげた方【未経験の場合】■35歳まで,【月給】22万円〜35万円＋インセンティブ＋諸手当 ※平均インセンティブ額13.7万円 ※試用期間3ヶ月 上記…,2020/10/13
蔦交通株式会社,子どもを見守るキッズ／お年寄りをケアするサポート／英語を活かせる観光ドライバ―の何れかをお任せ。★体の負担が少なく、長く働けるお仕事です♪,◇マイカーやバイクでの通勤もOK！ 駅から自転車通勤することも可能です。 【本社】 東京都葛飾区東…,450万円～700万円,【最新カーナビ付きで地理に自信のない方も◎】◎運転免許(AT限可)の取得後3年以上経過した方 ★月の出勤日数12日！シフト例は原稿内の画像をチェック,月給30万円+ 歩合給 ＋ 諸手当 ★入社1年目の平均年収475万円（歩合込） ★配属後3ヶ月間月給30万円を保…,2020/11/19
株式会社テクトン,◆未経験でも大丈夫！成長続ける安定企業で、ドキュメント作成・データ入力などの一般事務の仕事に携わりスキルアップして頂きます。,＜転居を伴う転勤はありません＞ ■本社／東京都新宿区新宿6-29-8 新宿福智ビル5F・6F ■関…,260万円～460万円,【積極採用中】★未経験・第二新卒・既卒者歓迎！入社後は充実した研修を用意しています！,■月給22万円〜35万円 ※前職給与・経験・年齢・能力などを考慮して、給与額を決定します。 ※30時間分の…,2020/10/09
東京エムケイ株式会社,【ベンツやBMW・レクサスなど高級車に乗務】◆お客様は、ご予約の方やリピーターが中心！★有休取得率80％以上,【汐留営業所】 東京都港区東新橋1-3-9 ※各線「新橋駅/汐留口」 「汐留駅」より徒歩2分 《主…,450万円～550万円,【年齢不問】◆普通免許取得3年以上の方（AT限定可）★車好きな方は歓迎 ★前職も飲食店、倉庫作業員、おもちゃの営業など社員の9割が未経験スタート,▼月給30万円 ※入社後3ヶ月の研修期間中は月給30万円となります。 ▼研修期間終了後から、 　基本給月…,2020/11/11
小金井不動産株式会社,★LIXIL不動産ショップでの不動産仲介業務★ご来店されたお客様への物件のご紹介がメインなので、専門知識「0％」からでもOKなんです！,《UIターン歓迎&マイカー通勤OK》 ★宇都宮・小山・下野の主要地での勤務となります ★宇都宮鶴田…,300万円～550万円,【未経験/第二新卒歓迎/学歴不問】★要普免★20代のメンバー活躍中★1年弱で管理職へ昇格＆国家資格「宅建」を未経験から取得できる！,"【月給】220,000円〜300,000円＋インセンティブ＋諸手当 ※試用期間3カ月 上記変動なし",2020/10/02
東京エムケイ株式会社,【事前予約中心 × 長距離送迎 ＝ 高収入】◆お客様はご予約の方やリピーターがメインです ◆高級車（ベンツ・BMW・レクサスなど）に乗務！,【汐留営業所】 東京都港区東新橋1-3-9 ※各線「新橋駅/汐留口」 「汐留駅」より徒歩2分 《主…,450万円～550万円,【未経験歓迎！年齢不問】＼未経験からでも月給30万円スタート／◆普通免許取得後3年以上（AT限定可）★コロナ対策も万全！ドライバーの健康も配慮,▼月給30万円 ※入社後最大3ヶ月の研修期間中は月給30万円となります。 ▼研修期間終了後から、 　基本…,2020/11/11
小金井不動産株式会社,★LIXIL不動産ショップでの不動産売買の仲介業務★ご来店されたお客様への物件のご紹介がメインなので、成約率が高い！★物件数も県内トップクラス！,《UIターン歓迎&マイカー通勤OK》 ★宇都宮エリアでの拡大募集となります 【拡大募集中！】 ★宇…,400万円～1000万円,【即戦力採用/学歴・年齢不問】■不動産売買の経験 もしくは ■ハウスメーカーでの営業経験 もしくは ■なんらかの営業で業績を上げた経験,【月給】25万円〜35万円＋インセンティブ＋諸手当 ※平均インセンティブ額13.7万円 ※試用期間3ヶ月 上記…,2020/10/02
