会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社ProbSpace,"【即戦力募集】データサイエンティストをはじめ、""ProbSpace""にご登録されている方と企業をマッチングする人材コンサルタントとして活躍いただきます",【転勤なし／四谷三丁目駅より徒歩2分】 東京都新宿区左門町6-7鯉江ビル903号,500万円～650万円,【会社の成長を牽引する中核事業のコアメンバー】応募条件：人材紹介領域での営業経験(RA・CAいずれかの経験があればOK),"月給35万7,143円〜 46万4,286円 ※月40時間の見込み残業代（8万5,034円〜11万545円）を含む。超過分は別…",2020/11/27
トーテックアメニティ株式会社,上流工程から携われる◎主に官公庁に向けた、ITインフラ（ネットワーク・サーバ・データベース）の基本設計、構築、運用、保守業務をお任せ。,◎転勤なし ◎各線「大阪」駅より徒歩8分の好立地！ ◎U・Iターン歓迎します 大阪事業所／大阪府大…,360万円～800万円,★リーダー候補採用◎学歴不問【応募条件：右記いずれか】◆ネットワーク／サーバの設計or構築or運用or保守の経験がある方◆CCNAレベルの知識がある方,月給20万円〜40万円 ＋ 諸手当 ＋ 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇い…,2020/11/27
関東混合機工業株式会社,当社の業務用ミキサーの電気回路・制御設計職としてPLCハード構築及びソフト制作、制御盤の設計、配線業務などを担当します。,【転勤なし】 本社／東京都板橋区大原町3-12 都営三田線　本蓮沼駅より徒歩5分,400万円～720万円,◆機械電気設計実務3年以上 ◆オートCADを用いた回路設計の経験をお持ちの方 ◆図面を見ながらの簡単な配線業務経験をお持ちの方,"月給250,000円〜600,000円 + 諸手当 + 賞与年2回",2020/11/24
関東混合機工業株式会社,当社の業務用ミキサーの生産管理職として生産工程・進渉の管理、部品の発注業務、部品の在庫管理、取引業者の新規開拓などを担当します。,【転勤なし】 本社／東京都板橋区大原町3-12 都営三田線　本蓮沼駅より徒歩5分,250万円～500万円,【年間休日123日】 完全週休2日制（土曜、日曜）◎生産管理のご経験がある方(業種業界不問),"月給180,000円〜350,000円 + 諸手当 + 賞与年2回 ※経験・能力、前職の給与を考慮して決定いたします",2020/11/24
関東混合機工業株式会社,当社の業務用ミキサーの機械設計職として仕様決め、見積り、設計、評価、現地調査などを担当します。,【転勤なし】 本社／東京都板橋区大原町3-12 都営三田線　本蓮沼駅より徒歩5分,400万円～720万円,【年間休日123日】 完全週休2日制（土曜、日曜）◎産業機械、生産設備、省人化機械などの、動く機械の設計経験をお持ちの方,"月給250,000円〜600,000円 + 諸手当 + 賞与年2回 ※経験・能力、前職の給与を考慮して決定いたします",2020/11/24
関東混合機工業株式会社,当社の業務用ミキサーの電気配線業務及びミキサー組立の伴う配線作業を担当します。,【転勤なし】 本社／東京都板橋区大原町3-12 都営三田線　本蓮沼駅より徒歩5分,250万円～500万円,【年間休日123日】 完全週休2日制（土曜、日曜） ◎電気配線作業経験をお持ちの方もしくは電気図面の読める方,"月給180,000円〜350,000円 + 諸手当 + 賞与年2回 ※経験・能力、前職の給与を考慮して決定いたします",2020/11/24
北海道ドライケミカル株式会社,防災設備の設置工事において、工程管理や資材・業者発注などの『段取り(施工管理)』をお願いします。★あなたの伸びしろに期待しています！,【旭川で勤務／UIターン歓迎】 旭川営業所／北海道旭川市東8条3丁目2番14号,300万円～500万円,<旭川支店での募集／業界未経験者大歓迎>【年間休日123日】◎要普免 ★業界未経験だった先輩も、防災のエキスパートとして活躍中★,月給20万円〜35万円＋諸手当＋賞与年2回 ★経験、能力、前職の待遇などを考慮し、相談の上で決定いたしま…,2020/11/24
関東混合機工業株式会社,当社の業務用ミキサーを製造する機械加工職としてCAD、CAMを用いたNCプログラムの作成や旋盤等の運転業務などをお任せします。,【転勤なし】 本社／東京都板橋区大原町3-12 都営三田線　本蓮沼駅より徒歩5分,250万円～500万円,NC旋盤、NCフライス、マシニングセンタ等の設備オペレーター経験、または・SUS、鉄、鋳物の切削加工の経験をお持ちの方,"月給180,000円〜400,000円 + 諸手当 + 賞与年2回 ※経験・能力、前職の給与を考慮して決定いたします",2020/11/24
株式会社MCアグリアライアンス,国内製油メーカーや食品メーカーなどに対し、食用油脂（オリーブ油、パーム油、ヤシ油、菜種油など）の輸入買付業務、および国内販売をお任せします。,本社／東京都千代田区大手町1丁目3番7号 【アクセス】 東京メトロ東西線「竹橋駅」より徒歩3分 東…,326万円～555万円,【未経験歓迎／20代～30代活躍中】◆グローバルに活躍したい方歓迎！◆英語力が活かせます ☆チーム制の営業で風通し抜群 ☆スキルの幅を広げられます,"月給20万4,000円〜34万7,000円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間6ヶ月あり（期…",2020/11/20
関西ビジネスインフォメーション株式会社,◎大阪ガスなどの大手企業の販促活動を支えています◆各種イベントやWEB、DM等の制作物の企画・提案 ◆業務効率化に向けた提案をお任せ。,◎転勤は当面なし！ ◎「渡辺橋」駅より徒歩2分 ◎「肥後橋」駅より徒歩5分 【大阪本社】 大阪府大…,380万円～480万円,充実した外部研修有◎学歴不問【必須条件】販促関連の営業経験・企画部門での業務経験・無形商材の企画営業のいずれかの経験をお持ちの方（3年以上）,月給23万円〜 ※経験・能力等を考慮して優遇します。 ※試用期間4ヶ月あり（待遇変動なし） ※最長雇用は…,2020/11/20
