会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
有限会社ブルース,【オシャレな新オフィスで活躍！】◆経験に応じて、在庫管理業務や海外人気ブランド子供服の営業をお任せ！自社ブランドや世界的ブランドまで多彩♪,【転勤なし！／増床移転したキレイなオフィス／U・Iターン歓迎】 本社／東京都渋谷区富ヶ谷1-34-…,300万円～500万円,【学歴不問/平均年齢38歳】◆在庫管理 or 営業経験をお持ちの方★「ファッションが好き(興味だけでもOK)」「裁量大きく活躍したい」…そんな方、歓迎,月給：20万円〜28万円 ※経験・スキルを考慮の上、決定します。 ※試用期間3か月あり(その間は、月給18…,2020/12/25
株式会社oricon ME,【担当制ではなくオールジャンルに関われる】記事のネタ探し、トレンド事象の分析、記事構成を中心に、新たな情報を制作・発信します ★9割が中途入社,【転勤なし／六本木駅から徒歩3分】 ◆東京都港区六本木6−8−10　STEP六本木 ＜アクセス＞…,350万円～600万円,【残業1日1～2h程度・完全週休2日制の好環境／業界未経験OK】◆社会人経験 ◆何らかのライティング経験 ※瞬発力や編集職への熱を求めています！,◆月給24万円以上 ＋ 賞与（年2回） ※年齢・経験・スキルを考慮の上、当社規定により決定します。 ※上…,2020/12/25
鶴信運輸株式会社,《 大型免許取得サポート！未経験者も多数活躍 》様々なコースの中から、希望・適性に応じた配送ルートを任せします。★初心者でも安心の固定ルート！,《 転勤なし！車通勤OK 》 希望に応じて、本社(岡山県岡山市)／津山市／広島県広島市／兵庫県加西…,350万円～600万円,《 必要なのは免許だけ！学歴不問 》◎中型免許(旧普通免許もOK)大型免許をお持ちの方優遇★最近も未経験から20・30代の社員が入社★女性社員も活躍中,"月給 24万5,000円 〜 45万円 ＋ 諸手当 ※上記はあくまでも最低保障です ※年齢、経験、能力を考慮の上…",2020/12/25
埠頭ジャスタック株式会社,《先輩とチームで業務をスタート／大型船を扱うチャンスも！》◆貨物船の傷の修復や、クレーン等のメンテナンス作業をお任せ ※残業月平均5h以下,◆大阪府大阪市此花区梅町1-1-79 ※桜島駅からの送迎バスあり ※マイカー通勤OK！ ※転勤はあ…,300万円～400万円,《未経験スタートの先輩多数／20代若手からベテランまで在籍》◎要普免 ◎学歴不問 ※全額会社負担！手厚い資格取得支援制度あり,"◆月給 20万5,000円以上＋諸手当＋賞与(年2回) ※経験・スキルを考慮し、優遇します ※ほぼ全員が毎年昇…",2020/12/25
琉球セメント株式会社,当社の経理部門として伝票整理やデータ入力、各種決算業務などをお任せします。★完全週休2日制や残業月3h程度など「働きやすい環境」も魅力です,【転勤なし／マイカー通勤OK】 沖縄県浦添市西洲2-2-2,,【 経理としての経験を5年以上お持ちの方 】◎高卒以上 ◎要普免（AT可）★賞与は年間で約5.0ヶ月分を支給します ★将来の幹部候補として採用します,"◇大卒 月給／187,100円〜　＋諸手当 ◇短大・専門学校・高専卒 月給／162,400円〜　＋諸手当 ◇高卒 …",2020/12/25
国立研究開発法人理化学研究所,建物工事に関する事務業務、予算執行管理、長期修繕計画策定、資料作成など様々な業務をお任せします。,【施設部企画調整課】埼玉県和光市広沢2-1 【筑波事業所施設課】茨城県つくば市高野台3-1-1 ●…,,【経験・資格不問】◆社会人経験3年以上◆基本的なPCスキル(Microsoft Officeなど)★建築、電気設備、機械設備などの研究施設に興味のある方、歓迎,"月給 200,800 円 から396,400 円＋諸手当 ※経験・能力を考慮の上、当研究所規程により決定します ※残…",2020/12/25
株式会社イオタ,提携する代理店の新規開拓や、代理店とプリセールス（営業同行）、導入や保守を行うエンジニア業務を幅広くお任せします。,名古屋市中村区烏森町6-41-503 ★U・Iターン歓迎！ ★車通勤OK,500万円～700万円,学歴不問■要普通免許／AT可■サーバー・ネットワーク・PCなどの知識がある方■通信・IT関連の営業経験をお持ちの方（年数不問）は歓迎！,月給35万円〜50万円 ※経験・能力を考慮して決定します。 ※一律固定残業代（40時間分：10万8520円〜15万…,2020/12/25
株式会社GO LIKE GO,◎適性に応じて【 WEBデザイナー・DTPデザイナー 】いずれかの業務をお任せします。≪ 多彩な案件に触れられるので、スキルアップを望む方は是非！≫,■宮崎県宮崎市東大淀1丁目1-41napビル5F ◆転勤なし ◆マイカー通勤OK ◆UIターン歓迎,,◎DTPデザインの実務経験がある方 または、Web制作の経験がある方　★男女・学歴不問！　★20～30代が中心に活躍中！ ★女性管理職も在籍しています♪,"月給 210,000円〜250,000円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※3ヶ月の試用期間あり…",2020/12/25
株式会社田部,【転勤なし】森林資源の整備業務をお任せします！,島根県雲南市掛合町掛合2112 ★会社から車で5分に コンビニやスーパードラッグストアが あるので…,230万円～280万円,【未経験歓迎！林業や山に関する知識、経験、スキルなどは一切必要ありません】◎要普免（AT限定不可）自然が好きそんな思いがあれば大丈夫です！,"月給：160,000円〜195,000円 ※上記はあくまでも最低保障です ※年齢、経験、能力を考慮の上、優遇いたし…",2020/12/25
株式会社東海道シグマ,人材派遣・人材紹介サービスに関する「新規開拓・既存管理・スタッフの労務管理」をお任せします。担当エリアはいずれも静岡県内です！,★転勤なし 本社：静岡県静岡市葵区御幸町8-1 JADEビル5F 沼津：静岡県沼津市大手町2-4-…,350万円～500万円,【業界未経験OK／特別な知識やスキルは一切不要！】大卒以上／何らかの営業経験（業界・年数不問）／引っ越し補助あり！／平均勤続年数10年！,月給24万円〜35万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間3ヶ月あり（待遇…,2020/12/22
琉球セメント株式会社,セメントや石材、建設資材などの土木建築資材の営業をお任せします。★主力のセメントは沖縄県内で高いシェアを誇っています！,【転勤なし／マイカー通勤OK】 沖縄県浦添市西洲2-2-2,,【 営業経験や建築・土木施工管理の資格が活かせます 】◎39歳以下の方（※）◎高卒以上 ◎要普免（AT可）★賞与は年間で約5.0ヶ月分を支給します,"◇高卒 月給／142,000円〜　＋諸手当 ◇大卒 月給／187,100円〜　＋諸手当 ◇短大・専門学校・高専卒 …",2020/12/18
沼津総合法律事務所,《丁寧に教えます！》裁判所に提出書類作成の補助を中心としたサポート業務をお任せします。簡単なPC操作ができれば大丈夫です！,静岡県沼津市吉田町25−2　浜ビル2階 ※転勤なし！ ※マイカー通勤OK！無料駐車場完備！,250万円～320万円,《未経験・第二新卒歓迎！》短大卒以上／30歳まで（※）／普通自動車免許（AT可）／基本PCスキル（Excel、Word）／女性が中心に活躍中！,月給16万円 〜 20万円 + 諸手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月…,2020/12/18
株式会社２０２不動産,◎入社時に専門知識は不要！不動産管理に関わる業務全般をお任せします。☆★ 博多駅から徒歩圏内のオシャレなオフィスで活躍！★☆,■福岡県福岡市博多区住吉2丁目11-21-B1　住吉BASE内 博多駅のすぐ近くでアクセスも抜群！…,,≪ 未経験OK！経験・学歴よりも意欲や人物面を重視します♪≫ ◎40歳までの方（※） ◎基本的なPCスキル（Word・Excel） ◎要普免（AT限定可）,"月給 230,000円〜 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あり(…",2020/12/15
株式会社ローズ総合研究所,《事務所の顔としてやりがいを持って働けます♪》経理会計事務の全般・クライアント対応などをお任せ◎基本定時退社でプライベートも充実！,■転勤ナシ ■長堀橋駅・堺筋本町から徒歩すぐ！ 大阪府大阪市中央区博労町2-2-13 大阪堺筋ビル…,300万円～560万円,《経験が浅い方もまずはお気軽にご応募を》■日商簿記3級程度の知識をお持ちの方◎簿記の資格を活かしたい方歓迎◎目指したいキャリアを応援！,■月給20万円〜35万円 + 諸手当＋賞与年2回 ※経験・能力・年齢に応じて考慮します。 ※試用期間（3ヶ月…,2020/12/11
三共商事株式会社,経理業務を中心に担当し、管理部や役員と協力しながら様々な社内の改善・業務効率化に取り組みます。,★転勤無し ★末広町駅から徒歩1分の好立地です！ 本社／東京都千代田区外神田4-6-10 ＜アクセ…,350万円～450万円,＜業界経験不問！男性メンバーが活躍中！＞【応募条件】◆大卒以上 ◆経理実務経験2年以上◆簿記2級、または同等の実務スキル ◆基本的PCスキル,月給25万円以上 ※経験やスキル等を考慮の上、当社規定により決定します。 ※上記金額には固定残業代を含…,2020/12/11
大同精密工業株式会社,自動車や鉄道車輌・産業機械に携わる部品の設計・工程設計。経験や適性に応じてさまざまな案件をお任せします。,[東京][埼玉]のいずれかの勤務地へ配属。 希望を考慮して決定します。 【本社】★機械設計 ■東京…,300万円～550万円,[必須]設計や工程設計の経験者(業種・年数不問) 、CAD使用経験者 ◆30代の社員が活躍中◆幅広く知識を身に付け、スキルアップが可能！,【月給】21万円〜30万円 ※経験・能力により決定します ※3ヶ月間の試用期間中も、上記と同条件です,2020/12/08
株式会社スターシャル教育研究所,小学校でトワイライトの運営指導をお任せ。子どもと遊んだり宿題を見るなどして見守るほかに、イベントの企画や体験講座などもお願いします。,【 名古屋市内（名東区・昭和区・中区・緑区）の各小学校および本社 】 ◎転居を伴う転勤なし ◎車通…,,【 未経験OK！学歴・転職回数・ブランク不問！】★保育士資格のある方や学童指導員、塾講師など、教育業界での就業経験がある方は歓迎します！,月給20万〜25万円（一律手当含む） ※あなたの経験やスキルなどを考慮した上で決定いたします。 ※固定残…,2020/12/08
医療法人 札幌ハートセンター,【レセプト、予約受付など、医療事務のお仕事です】★20代女性が多数活躍中！毎月1～10日は慌しいですが、それ以外は残業ほぼなし！,【UIターン歓迎／転勤なし】 札幌市東区北49条東16丁目8番1号 ★マイカー通勤可,,【 資格・学歴不問 】◎医療事務の経験がある方(ブランクある方もOK！) ★循環器系の医療事務の経験者は尚優遇！,"月給 152,000円〜＋諸手当(住宅手当、交通費、家族手当etc.) ※月収目安：210,000円 ★医療事務の経験が…",2020/12/07
ミネ医薬品株式会社,【本社勤務】◆会社全体をサポートする経理・事務をお任せします！★簡単な業務からスタートするので経験の浅い方も、ご安心ください♪,【転勤なし／「笹塚駅」からアクセス◎／U・Iターン歓迎！】 本社／東京都渋谷区幡ヶ谷3-76-1,300万円～450万円,【20～30代の女性が活躍中！／第二新卒歓迎！】◆高卒以上◆フットワーク軽く、柔軟&明るい対応ができる方、歓迎！※人柄重視の採用方針です！,月給22万円以上＋賞与年2回 ★経験・能力・年齢などを十分に考慮し、決定致します,2020/12/01
有限会社下久保林業,【山林の環境保全に携わる仕事です】◎木々の植え付け、育成、伐採、集材、運搬など ※残業ほぼ無しでメリハリのある勤務体系です,【転勤なし】 ◎青森県十和田市深持字山ノ下123-2 ※会社に出社後、社用車で各現場へ向かいます。,,【未経験者歓迎】◎数年かけて一人前になるまで手厚くフォローします ◎異業種からの転職者活躍中！安定した月収あり,"月給20万7,000円〜23万円 + 各種手当 ※あなたの経験、年齢等を考慮し当社規定により優遇します。 ※試用…",2020/11/27
いいづか税理士事務所,【未経験スタートOK】◎税理士の補助業務及び伝票作成や申告業務などをお任せします。★業界の知識や実務経験は入社後にしっかり教育します！,【転勤なし】福岡県福岡市南区長住2丁目18-10 1F ◎マイカー通勤OK(駐車場あり) ◎U・I…,360万円～560万円,【未経験・第二新卒歓迎】◎男女/資格/経験不問 ◎35歳以下の方※ ◎要普免(AT限定可) ★税理士試験を受ける・受けたことがある方も大歓迎！,月給23万円〜35万円 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇し…,2020/12/08
ミネ医薬品株式会社,【完全週休2日制／年間休日119日／充実の研修からスタート！】★調剤薬局での医療事務をお任せします！スキルや経験に応じた業務からスタート！,【転居なし/ほとんどの店舗がすべて駅チカ！U・Iターン歓迎！】 ＜東京都／神奈川県いずれかの調剤薬…,,【第二新卒歓迎／定着率90％以上】◆未経験からの応募もOK！★産休育休取得率も100％！★ワークライフバランスを大切にしたい方、ぜひ♪,月給20万円以上＋賞与年2回 ★経験・能力などを十分に考慮し、決定致します。,2020/12/01
兼松アグリテック株式会社,【会社の方向性を左右する経営企画として活躍】現在当社の常務が行う業務をサポート！より経営に近い立場で、企画を立案する大きなやりがいがあります,《「新松戸駅」より徒歩2分の立地！》 千葉県松戸市新松戸 2-8石井ビル4F,430万円～600万円,＼業種未経験・職種未経験も歓迎／◆普通運転免許(AT可)【歓迎する条件】◆簿記の知識のある方◆経理・与信管理などの経験があれば活かせます！,月給27万3500円〜 ※給与は、経験やスキルを考慮し決定します。 ※試用期間3ヶ月あり(同条件),2020/12/02
株式会社釣りビジョン,釣りビジョンのテレビ番組制作・AD業務をお任せします。,【本社】 ■東京都新宿区西新宿3-9-2 フジ・エステイト新宿第一ビル7F （アクセス） ◎京王新…,,未経験者歓迎！学歴不問！35歳までの方（若年層の長期キャリア形成を図るため）◆要普通免許（AT可）　◆映像制作に興味がある方、大歓迎！,■月給25万円以上（スキル&能力次第で更にプラスあり） ※経験・能力を考慮の上、当社規定により優遇いた…,2020/11/27
西濃印刷株式会社,世の中に驚きと感動を発信！地元のためにも働ける★多彩な広告制作におけるディレクション業務。クリエイティブの力でお客様の課題を解決していきます,岐阜市の本社での勤務 ◎転勤はありません ◎マイカー通勤OK！ 《本社》 岐阜県岐阜市七軒町15,250万円～400万円,《 未経験歓迎！ 》◎要普通免許 ◎経験不問 ◎UIターン歓迎 ★自分のアイデアを発信したい！クリエイティブな仕事をしたい方はぜひ！,《月給19万円以上》 ※経験・能力等を考慮の上、決定致します。 ＜月収例＞ 月収27万円（経験5年）,2020/12/17
医療法人社団 行陵会,食事・入浴などの生活サポートをチームで行って頂きます。◆残業月平均10時間 ◆独身寮や託児所完備 ◆家族手当や最大2万5000円の保育手当あり,＜転居を伴う異動なし＞ 本部：京都市左京区大原井出町164 【就業地】 博寿苑（老健）：京都市左京…,,【未経験・第二新卒歓迎】実際、入職者の8割が未経験。充実した社内教育制度でサポートします！,"月給21万7,420円〜27万2,200円（一律処遇改善金・夜勤4回分29,520円を含む/超過分は別途支給）＋賞与年2…",2020/12/23
株式会社オカモト,仕訳、売掛金・買掛金管理、工事原価管理など、経理業務をお任せします。 ※会計ソフト「PCA建設業会計」を使用。※工事業界の経験が無くてもOK！,【JR内房線「五井駅」より徒歩10分・マイカー通勤OK】 千葉県市原市五井中央南一丁目11番地8,260万円～380万円,◆高卒以上 ◆経理経験がある方(業界不問) ◆要普通自動車免許(AT限定OK) ※経験を活かして、地域に根差して活躍できます！,月給20万円〜28万円 ＋諸手当 +賞与年2回 等 ※試用期間3ヶ月間(待遇変更なし),2020/11/24
社会保険労務士法人 下関労務管理事務所,社会保険労務士の補助業務　※まずは書類作成などの簡単な作業からスタート！仕事は丁寧にイチから教えます。,本社／山口県下関市大和町1丁目10-2 ※転勤なし ※Ｕ・Ｉターン歓迎,,◇未経験の方:35歳以下(若年層の長期キャリア形成を図るため) ◇経験者の方:年齢不問 ◎大卒以上 ◎要普免(AT可) ◎基本的なPCスキル,◇未経験の方 月給／18万円〜23万円 ◇経験者 月給／20万3000円〜30万円 ※年齢、経験、能力を考慮の上…,2020/11/24
株式会社オートウェイ,あなたの適性やスキルに合わせて人事・総務業務もしくは、経理業務のいずれかをお任せします。◆社員の頑張りはしっかり還元／決算賞与も2年連続支給,本社／福岡県京都郡苅田町苅田3787-62 ※転居を伴う転勤はありません。 ※マイカー通勤OK（…,400万円～500万円,◎人事、総務、経理のいずれかの経験をお持ちの方 ◎要普免 ◆組織のマネジメント経験がある方は責任者候補としてお迎えします！,"月給200,000円〜300,000円 ＋ 諸手当 ※今までの経験やスキルを考慮し、給与を決定いたします。 ※試用…",2020/12/23
医療法人社団アップル歯科クリニック,《平均年齢29.7歳／男女不問》経営本部で『人事総務』『広報』いずれかをメインにお任せ ★これまでの経験・スキルに応じて配属します,《明石・三宮の各医院に配属》 兵庫県明石市大久保町高丘3-3-1 ＜アクセス＞ JR「大久保駅」よ…,300万円～350万円,《異業種からの応募も歓迎！経験者採用です》◎大卒以上◎基本的なPCスキル◎人事・総務／広報・マーケティングの経験をお持ちの方 ★年間休日123日,月給21万円以上 + 各種手当（住宅・時間外など）+賞与年2回 ※経験、能力、スキルなどを考慮のうえ、優遇…,2020/12/01
株式会社村上組,東京エリアにて予算・工程・資材・品質・安全面など施工管理全般をお任せ！※基本1人につき1現場を担当,★原則転勤なし★現場への自動車通勤OK！（応相談） 【東京支店】 東京都港区浜松町1-12-11丸…,300万円～800万円,◆土木・建築・管工事・造園のいずれかの施工管理技士の資格（1級/2級）をお持ちの方や実務経験者は優遇★ブランクのある方や第二新卒・未経験も歓迎!,月給22万円〜50万円+賞与（年2回）+各種手当（地域・出張・食事・超過勤務 他） ○前職での年収を最大限…,2020/11/20
興亜工業株式会社,【転勤なし！スペシャリストを目指せます！】製品の製造に不可欠な「自家発電設備・生産設備を制御する各種測定装置・機器類」の保守・点検業務です。,【本社勤務】 ※U・Iターン歓迎（独身寮完備） ◆静岡県富士市比奈1286-2 アクセス：岳南鉄道…,450万円～550万円,【未経験歓迎！】◆応募条件：大卒以上　◆電験二種・三種をお持ちの方は歓迎 ⇒入社後に取得も可能です！（受験料・報奨金を支給）,月給22.6万円以上+諸手当＋賞与年2回（今年度実績5.5ヶ月分） ※経験・能力、年齢により、優遇いたしま…,2020/12/22
有限会社アキズキ,クライアントの経理指導や財務分析・経営サポートを行います。★まずは会計ソフトへの入力、決算処理、資料づくりなどからスタート！,【転勤なし／車通勤OK】 広島市安佐南区中須1-13-21 ◎アストラムライン「古市駅」徒歩5分…,,【未経験・第二新卒歓迎】◆要普免(AT限定可) ◆パソコンの基本操作ができる方 ◆日商簿記3級または同等の知識を有する方 ★資格取得を全面サポート！,月給17万円〜23万円 ※経験・能力・年齢を考慮の上、決定します,2020/11/20
株式会社須藤電機製作所,【受配電盤、制御盤、分電盤等の設計】大型施設や交通システム等、公共性の施設・設備への配電システムを担う様々な製品の開発で活躍！,《転勤なし／田町駅・三田駅よりアクセス良好》 ◆本社 東京都港区芝浦3-11-13 SUDO BL…,250万円～400万円,《若手活躍中》■未経験・第二新卒者OK（経験者は優遇！）■学歴・性別不問 ■電気・電子系の知識があれば活かせますが、文系出身者も活躍中です！,月給18万円〜25万円 ＋ 諸手当 ＋ 賞与（昨年度賞与実績4ヶ月） ※スキル・経験などを考慮の上、決定い…,2020/11/17
株式会社須藤電機製作所,《希望やスキルに応じた仕事からスタート！》大型施設や交通システムなどに使われる受配電盤、制御盤、分電盤などの製造、検査、改造をお任せします。,《転勤なし》 ◆工場 千葉県浦安市鉄鋼通り2-5-5 〜アクセス〜 「舞浜駅」よりバスで5分＋徒歩…,250万円～400万円,《未経験/第二新卒歓迎》■電気・電子系の知識がある方や図面が読める方優遇します！■ものづくりに興味のある方◎20～30代若手活躍中◎月平均残業20h,月給17万円〜25万円 ＋ 諸手当 ＋ 賞与（昨年度賞与実績4ヶ月） ※スキル・経験などを考慮の上、決定い…,2020/11/17
旭川ガス管工事株式会社,【ガス・水道の配管工事】依頼主から送られてきた図面をもとに、5名前後のチーム＋協力会社で工事を実施します。《重機資格や国家資格など取得可能》,「旭川本社」もしくは「江別支店」からお選びいただけます！ 【旭川本社】 北海道旭川市宮前1条5丁目…,300万円～400万円,【学歴・経験一切不問です】◎必要資格は普通転免許(MT)のみ！(AT限定の方は入社前に解除いただければOKです)　★経験者の方は待遇面含め優遇します！,"月給156,900円〜　＋諸手当(残業・家族・資格など)＋賞与 ※能力・経験・資格などを考慮し、決定いたし…",2020/11/17
プレミアムウォーター株式会社,【完全内勤で働きやすさ◎】一人暮らしの方やファミリー層など、幅広いお客様に対して、電話による案内やアフターフォローをお任せします。,大阪オフィス、または大阪市内、神戸市内の業務提携先での勤務になります ＜大阪オフィス＞ 大阪府大阪…,350万円～550万円,◆年齢 35歳まで ◆仕事とプライベートのバランスを大事にしたい・長く働き続けたいという方は是非ご応募ください。未経験・第二新卒の方も大歓迎！,"月給23万5,000円以上 ＋ インセンティブ（契約件数に応じて毎月支給）＋通勤交通費支給 ※経験・能力を考…",2020/11/27
株式会社エネサンス九州,【担当サービスは適性に応じて決定】 (1)家庭用LPガスや不動産管理会社等のルート営業 (2)燃料店への卸売販売 (3)リフォーム提案,【九州の各拠点】 《福岡営業所》 福岡県福岡市東区土井3丁目7-19 交通アクセス／JR 「土井」…,330万円～465万円,若手社員活躍中！【 (1)家庭用LPガスや不動産管理会社等のルート営業 (2)燃料店への卸売販売 (3)リフォーム提案のいずれかの経験をお持ちの方は優遇】,月給 19.8万円〜28万円 ※年齢や経験を考慮し、適正に決定します。 【試用期間】3ヶ月／期間中も条件に…,2020/12/23
株式会社CO2O,太陽光発電施設内を巡回しながら、周りの雑草や倒木の伐採、フェンスの簡単な修繕などのメンテナンス。★電気主任技術者の資格取得も目指せる！,【転勤なし！宮城県内・石川県内の施設で勤務となります】 ◎新車の軽トラック支給！ ◎マイカー通勤も…,320万円～700万円,【年齢不問！20代～50代まで幅広い年齢層の社員が活躍しています！】◎未経験や第二新卒の方、資格取得を目指したい方もぜひご応募ください！,年俸300万円以上＋賞与年2回＋各種手当 ※1/12を毎月支給(月25万円以上)。 ※上記の年俸300万円は最低保…,2020/12/22
株式会社チュチュアンナ,＼大人気アパレルブランドの花形ポジション！／希望や適性を存分に考慮し、【MD】【DB】【VMD】のいずれかの業務に携わっていただきます。,【駅チカ！好立地だから通勤便利♪】 大阪本社／大阪府大阪市中央区森ノ宮中央1-10-2 …→ 各線…,350万円～650万円,【定着率良好◎20代～30代の女性活躍中♪】応募条件：MD・DB・VMDのいずれかの実務経験2年以上お持ちの方 ★年間休日123日＆リフレッシュ休暇あり★,月給21万円〜40万円 ※経験、能力、前職の給与を考慮のうえ、優遇いたします ※試用期間3ヶ月（期間中の…,2020/11/11
フロンティア1株式会社,【希望・適性を考慮し配属】上下水道設備の点検・修理から公共事業（下水道管及び道路側溝の清掃）まで ◆現場は片道1h以内（小田原市内）がほとんど,神奈川県小田原市寿町1-1-12 ※転勤はありません。 ※車・バイク・原付通勤OK、駐車場完備,300万円～500万円,【未経験・第二新卒歓迎】◆要普免 ◆転職回数・ブランク不問！ ※「1人でコツコツ派」も「チームで作業したい派」も歓迎！,月給22万円〜35万円 ＋諸手当・賞与年2回（計2.8ヶ月分実績） ※月収例：月収40万円（月給26万円＋各種手…,2020/11/30
株式会社チュチュアンナ,【やりがい大◎ニーズを先読みし、売上に貢献！】在庫取得・管理、発注・仕入れなどをお任せします。＼大人気のアパレルブランドで活躍♪／,【駅チカ！好立地だから通勤便利♪】 大阪本社／大阪府大阪市中央区森ノ宮中央1-10-2,400万円～500万円,【働きやすい環境のもと、経験を活かしたい方必見】通販担当として1年以上の経験をお持ちの方 or マーチャンダイザー（MD）の経験をお持ちの方,年俸制400万円〜500万円 ※経験、能力、前職の給与を考慮のうえ、優遇いたします ※試用期間3ヶ月（期間…,2020/11/06
株式会社チュチュアンナ,【ECサイトなど、通販部門での売上も好調↑】通販部門の事務スタッフとして、問い合わせ対応や受注管理など各種サポート業務をお任せします。,【駅チカ！好立地だから通勤便利♪】 大阪本社／大阪府大阪市中央区森ノ宮中央1-10-2,,【20代～30代の女性スタッフ活躍中】◎未経験・第二新卒者大歓迎 ◎Word、Excel（マクロ、CSV）の基本的な操作ができる方 ★産・育休の取得実績多数★,年俸制240万円〜 ※経験、能力、前職の給与を考慮のうえ、優遇いたします ※試用期間3ヶ月（期間中の待…,2020/11/06
ビジネスラリアート株式会社,【受託開発の案件も多数】希望や適性に応じてシステムエンジニア、HTMLコーダー、ネットワークエンジニア、Webデザイナーのいずれかをお任せします,京都府京都市下京区中堂寺南町134 KRP2号館 ※JR嵯峨野線「丹波口」駅から徒歩3分 ※転勤なし,,【PHPやアプリの経験があれば優遇 ／経験者歓迎】腰を据えて長く働きたい方歓迎／男女比半々！30代中心に活躍中！家庭と両立している先輩も,月給25万円〜60万円 ※経験やスキルにより優遇 ※試用期間3ヵ月〜6ヵ月（その間の待遇に変更なし）,2020/11/03
有限会社木下工建,戸建てやアパートなど家をつくる際の土台づくりを担当　★先輩のアシスタントからスタート★資格取得サポートあり！一生モノのスキルが身に付く！,◆転勤なし！現場（金沢市内が中心）へは直行直帰！ 石川県金沢市大野町4丁目イ123番地,350万円～400万円,「やってみたい」という気持ちがあれば歓迎◆経験や性別・学歴など一切問いません◆要普免(AT可）　＜残業ほぼナシ＞＜週休2日＞＜長期休暇あり＞,月給25万円以上 ※あなたの経験・年齢・能力を考慮の上、決定します。,2020/12/17
株式会社サンキュウ・ウィズ,【諸手当制度構築中】社内の経理業務全般及び、総務労務管理業務をお任せします。,＜本社＞ 東京都中央区勝どき6-5-23 ＜交通アクセス＞ 都営地下鉄大江戸線「勝どき駅」A3出口…,300万円～400万円,【幅広い年代のスタッフが活躍しています】◆経理の実務経験者（決算書を理解できるレベルの方希望）※有休消化率は5割以上です！,月給：18万円〜23万円 ＋ 諸手当 ＋ 賞与2回（昨年度2カ月分） ※経験・年齢・能力を考慮のうえ、決定致…,2020/10/30
東栄ホームサービス株式会社,東栄住宅（親会社）が販売した戸建住宅の定期点検業務（3カ月・2年・5年点検）★3カ月間の手厚い研修からスタート！未経験からスキルアップできる,本人の希望と現住所を考慮して下記いずれかの拠点へ配属します ※U・Iターン歓迎 【本社】 西武新宿…,250万円～350万円,＜未経験・第二新卒歓迎＞◆高卒以上　◆要普免（AT限定可）　★フリーターから社会人デビューを目指す方も歓迎！ ＜中途80％以上＞＜離職率7％＞,"■未経験者 月給19万8,200円〜22万3,400円 ■経験者 月給20万2,400円〜23万900円 ※経験や能力を考…",2020/10/23
株式会社チュチュアンナ,【大人気アパレルブランドの店舗開発業務】出店戦略に伴う、新規物件の獲得や物件の調査・情報収集、商業施設への提案、契約交渉などをお任せ。,【大阪本社または東京支社での募集／配属は希望を考慮】 大阪本社／大阪府大阪市中央区森ノ宮中央1-1…,450万円～750万円,【経験者採用！抜群の働きやすさのもと、将来を見据えて働きませんか？】◎商業施設における店舗開発業務の経験をお持ちの方 ★30代～40代活躍中★,年俸制450万円〜750万円 ※経験、能力、前職の給与を考慮のうえ、優遇いたします ※試用期間3ヶ月（期間…,2020/11/05
株式会社チュチュアンナ,【自社ブランドだから、デザインの反響を直接感じられる♪】《パッケージ・POP》《ソックス》《インナーウェア》いずれかのデザイン業務をお任せ。,【駅チカ！好立地だから通勤便利♪】 大阪本社／大阪府大阪市中央区森ノ宮中央1-10-2,250万円～400万円,【実務経験をお持ちの方大歓迎／アパレル業界での経験不問】◎高卒以上 ◎Illustrator・Photoshopの基本操作ができる方 ★20代～30代が活躍中★,年俸制250万円〜400万円 ※経験、能力、前職の給与を考慮のうえ、優遇いたします ※試用期間3ヶ月（期間…,2020/11/05
鎌形建設株式会社,【官公庁案件が9割！需要も安定しています！】◆本社近辺を中心に千葉県内の道路や橋梁、河川などの工事における土木施工管理を担当,◆マイカー通勤OK・転勤なし・芝山千代田駅から車で15分 【本社】 千葉県香取郡多古町多古591,352万円～691万円,【安定環境＆働きやすさを求める方に最適】◆要普免（AT限定可）◆1級・2級土木施工管理技士をお持ちの方 ＊平均勤続年数11.7年と定着率も抜群！,"月給251,000円〜（一律手当含む） ※経験や能力等を考慮の上、当社規定により決定致します ※試用期間…",2020/12/25
グローバルエンジニア株式会社,【用地買収に関する測量調査・資料作成】土地・建物の登記手続きや、役所・法務局への届出、交渉などをお任せします。,・本社 東京都世田谷区玉川台2-1-15 ※用賀駅徒歩6分 ・さいたま工事事務所 埼玉県さいたま市…,,【実務経験者募集！】◎測量士◎土地家屋調査士◎普通自動車免許／経験を生かして活躍できる★土地登記や相続に関する知識のある方は優遇します！,月給：35万円以上 ※固定残業代：8万7500円（40時間分） ※固定残業代は残業がない場合も支給し、超過分…,2020/12/25
